Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
哥斯达黎加	CRI	基尼 (GINI) 系数	SI.POV.GINI																						47.5					34.4			46.7	45.3	46.6	45.7	46	46.8	45.7	46.5	45.6	45.7	47.7	47.4	51.6	51.9	49.3	48.3	47.5	49.4	49.3	48.7	50.6	48.2	48.7	48.6	49.3	48.6	48.4	48.7	48.3		
加勒比小国	CSS	基尼 (GINI) 系数	SI.POV.GINI																																																												
古巴	CUB	基尼 (GINI) 系数	SI.POV.GINI																																																												
库拉索	CUW	基尼 (GINI) 系数	SI.POV.GINI																																																												
开曼群岛	CYM	基尼 (GINI) 系数	SI.POV.GINI																																																												
塞浦路斯	CYP	基尼 (GINI) 系数	SI.POV.GINI																																													30.1	30.3	31.1	31.1	31.7	32.1	31.5	32.6	34.3	37	35.6	34				
捷克共和国	CZE	基尼 (GINI) 系数	SI.POV.GINI																																		26.6			25.8								27.5	26.9	26.7	26	26.3	26.2	26.6	26.4	26.1	26.5	25.9	25.9				
德国	DEU	基尼 (GINI) 系数	SI.POV.GINI																																29.2			29.2	29			28.3		28.8	30.3	30	30.3	30.4	32.3	31.3	31.3	31.2	30.5	30.2	30.5		31.1		31.7				
吉布提	DJI	基尼 (GINI) 系数	SI.POV.GINI																																											40										45.1	44.1				41.6		
多米尼克	DMA	基尼 (GINI) 系数	SI.POV.GINI																																																												
丹麦	DNK	基尼 (GINI) 系数	SI.POV.GINI																																												25.6	24.9	25.2	25.9	26.2	25.2	26.7	27.2	27.3	27.8	28.5	28.4	28.2				
多米尼加共和国	DOM	基尼 (GINI) 系数	SI.POV.GINI																											47.8			50.5			51.4				47.4	48.9			51.5	50	49.7	52.1	52.1	50	52	48.9	48.1	48.9	47.3	47.7	46.1	47.7	44.3	45.2	45.7			
阿尔及利亚	DZA	基尼 (GINI) 系数	SI.POV.GINI																													40.2							35.3																27.6								
东亚与太平洋地区（不包括高收入）	EAP	基尼 (GINI) 系数	SI.POV.GINI																																																												
早人口紅利	EAR	基尼 (GINI) 系数	SI.POV.GINI																																																												
东亚与太平洋地区	EAS	基尼 (GINI) 系数	SI.POV.GINI																																																												
欧洲与中亚地区（不包括高收入）	ECA	基尼 (GINI) 系数	SI.POV.GINI																																																												
欧洲与中亚地区	ECS	基尼 (GINI) 系数	SI.POV.GINI																																																												
厄瓜多尔	ECU	基尼 (GINI) 系数	SI.POV.GINI																												50.5							53.4				49.7	58.6	56.4			53.4	53.9	53.1	52.2	53.3	49.7	48.4	48.7	45.9	46.1	46.9	45	46	45	44.7		
阿拉伯埃及共和国	EGY	基尼 (GINI) 系数	SI.POV.GINI																															32					30.1				32.8					31.8				31.1		30.2		28.3			31.8				
欧洲货币联盟	EMU	基尼 (GINI) 系数	SI.POV.GINI																																																												
厄立特里亚	ERI	基尼 (GINI) 系数	SI.POV.GINI																																																												
西班牙	ESP	基尼 (GINI) 系数	SI.POV.GINI																																												31.8	33.3	32.4	33.5	34.1	34.2	34.9	35.2	35.7	35.4	36.2	36.1	36.2				
爱沙尼亚	EST	基尼 (GINI) 系数	SI.POV.GINI																																		39.5										37.2	33.6	33.4	33.7	31.2	31.9	31.4	32	32.5	32.9	35.1	34.6	32.7				
埃塞俄比亚	ETH	基尼 (GINI) 系数	SI.POV.GINI																																				44.6				30					29.8						33.2					35				
欧洲联盟	EUU	基尼 (GINI) 系数	SI.POV.GINI																																																												
脆弱和受衝突影響的情況下	FCS	基尼 (GINI) 系数	SI.POV.GINI																																																												
芬兰	FIN	基尼 (GINI) 系数	SI.POV.GINI																																												27.7	27.9	27.6	28	28.3	27.8	27.5	27.7	27.6	27.1	27.2	26.8	27.1				
斐济	FJI	基尼 (GINI) 系数	SI.POV.GINI																																											38.1						40.4					36.7						
法国	FRA	基尼 (GINI) 系数	SI.POV.GINI																																												31.4	30.6	29.8	29.7	32.4	33	32.7	33.7	33.3	33.1	32.5	32.3	32.7				
法罗群岛	FRO	基尼 (GINI) 系数	SI.POV.GINI																																																												
密克罗尼西亚联邦	FSM	基尼 (GINI) 系数	SI.POV.GINI																																														42.4								40.1						
