Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
比利时	BEL	森林面积（平方公里）	AG.LND.FRST.K2																															6670	6670	6670	6670	6670	6670	6670	6670	6670	6670	6672.999878	6686.799927	6700.599976	6714.400024	6728.200073	6742.000122	6755.999756	6770	6784.000244	6797.999878	6812.000122	6816.400146	6820.800171	6825.200195	6829.60022	6834.000244	6838.400269			
贝宁	BEN	森林面积（平方公里）	AG.LND.FRST.K2																															57610	56910	56210	55510	54810	54110	53410	52710	52010	51310	50610	50110	49610	49110	48610	48110	47610	47110	46610	46110	45610	45110	44610	44110	43610	43110	42610			
布基纳法索	BFA	森林面积（平方公里）	AG.LND.FRST.K2																															68470	67871.00098	67272.00195	66672.99805	66073.99902	65475	64876.00098	64277.00195	63677.99805	63078.99902	62480	61882.00195	61283.99902	60686.00098	60087.99805	59490	58890	58290	57690	57090	56490	55892.00195	55293.99902	54696.00098	54097.99805	53500	52902.00195			
孟加拉国	BGD	森林面积（平方公里）	AG.LND.FRST.K2																															14940	14914.00024	14888.00049	14861.99951	14835.99976	14810	14784.00024	14758.00049	14731.99951	14705.99976	14680	14654.00024	14628.00049	14601.99951	14575.99976	14550	14524.00024	14498.00049	14471.99951	14445.99976	14420	14394.00024	14368.00049	14341.99951	14315.99976	14290	14264.00024			
保加利亚	BGR	森林面积（平方公里）	AG.LND.FRST.K2																															33270	33318.00049	33366.00098	33413.99902	33461.99951	33510	33558.00049	33606.00098	33653.99902	33701.99951	33750	34301.99951	34853.99902	35406.00098	35958.00049	36510	36681.99951	36853.99902	37026.00098	37198.00049	37370	37541.99951	37713.99902	37886.00098	38058.00049	38230	38401.99951			
巴林	BHR	森林面积（平方公里）	AG.LND.FRST.K2																															2.199999988	2.300000042	2.5	2.599999905	2.800000012	2.899999917	3.100000024	3.199999928	3.400000036	3.600000143	3.700000048	3.899999857	4.00000006	4.199999869	4.300000072	4.499999881	4.600000083	4.799999893	4.900000095	5.099999905	5.299999714	5.400000215	5.600000024	5.699999928	5.899999738	6.000000238	6.100000143			
巴哈马	BHS	森林面积（平方公里）	AG.LND.FRST.K2																															5150	5150	5150	5150	5150	5150	5150	5150	5150	5150	5150	5150	5150	5150	5150	5150	5150	5150	5150	5150	5150	5150	5150	5150	5150	5150	5150			
波斯尼亚和黑塞哥维那	BIH	森林面积（平方公里）	AG.LND.FRST.K2																															22100	22050	22050	22025	22000	21975	21950	21925	21900	21875	21850	21850	21850	21850	21850	21850	21850	21850	21850	21850	21850	21850	21850	21850	21850	21850	21850			
白俄罗斯	BLR	森林面积（平方公里）	AG.LND.FRST.K2																															77800	78786	78786.00098	79278.99902	79772.00195	80265	80757.99805	81251.00098	81743.99902	82237.00195	82730	83055.99609	83382.00195	83707.99805	84034.00391	84360	84555.99609	84752.00195	84947.99805	85144.00391	85340	85539.00391	85737.99805	85937.00195	86135.99609	86335	86534.00391			
伯利兹	BLZ	森林面积（平方公里）	AG.LND.FRST.K2																															16160.30029	16003.49976	15846.80054	15690.1001	15533.39966	15376.60034	15219.8999	15063.19946	14906.50024	14749.69971	14593.00049	14507.5	14421.89941	14336.40015	14250.79956	14165.30029	14115	14064.69971	14014.49951	13964.20044	13913.90015	13863.69995	13813.49976	13763.39966	13713.19946	13663.00049	13612.80029			
百慕大	BMU	森林面积（平方公里）	AG.LND.FRST.K2																															10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10			
玻利维亚	BOL	森林面积（平方公里）	AG.LND.FRST.K2																															627950	625246.0156	622541.9922	619838.0078	617133.9844	614430	611726.0156	609021.9922	606318.0078	603613.9844	600910	598196.0156	595481.9922	592768.0078	590053.9844	587340	582290	577240	572190	567140	562090	559200	556310	553420	550530	547640	544750			
巴西	BRA	森林面积（平方公里）	AG.LND.FRST.K2																															5467050	5441618.75	5416188.125	5390756.875	5365326.25	5339895	5314463.75	5289033.125	5263601.875	5238170.938	5212740	5183660	5154580	5125500	5096420	5067340	5050788.125	5034235.938	5017684.063	5001131.875	4984580	4974740	4964900	4955060	4945220	4935380	4925540			
巴巴多斯	BRB	森林面积（平方公里）	AG.LND.FRST.K2																															63.00000191	63.00000191	63.00000191	63.00000191	63.00000191	63.00000191	63.00000191	63.00000191	63.00000191	63.00000191	63.00000191	63.00000191	63.00000191	63.00000191	63.00000191	63.00000191	63.00000191	63.00000191	63.00000191	63.00000191	63.00000191	63.00000191	63.00000191	63.00000191	63.00000191	63.00000191	63.00000191			
