Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
巴西	BRA	国际旅游，入境人数	ST.INT.ARVL																																				1991000	2666000	2850000	4818000	5107000	5313000	4773000	3785000	4133000	4794000	5358000	5017000	5026000	5050000	4802000	5161000	5433000	5677000	5813000	6430000	6306000	6547000	6589000		
巴巴多斯	BRB	国际旅游，入境人数	ST.INT.ARVL																																				442000	447000	472000	512000	515000	545000	507000	498000	531000	552000	548000	563000	575000	568000	519000	532000	568000	536000	509000	521000	592000	632000	664000		
文莱达鲁萨兰国	BRN	国际旅游，入境人数	ST.INT.ARVL																																													119000	126000	158000	179000	226000	157000	214000	242000	209000	225000	201000	218000	219000	259000		
不丹	BTN	国际旅游，入境人数	ST.INT.ARVL																																				4800	5200	5400	6200	7200	7600	6400	5600	6300	9200	13600	17300	21000	28000	23000	41000	66000	105000	116000	133000	155000	210000	255000		
博茨瓦纳	BWA	国际旅游，入境人数	ST.INT.ARVL																																				521000	512000	607000	750000	843000	1104000	1193000	1274000	1406000	1523000	1474000	1426000	1736000	2101000	1721000	1973000		1614000	1544000	1966000	1528000	1574000			
中非共和国	CAF	国际旅游，入境人数	ST.INT.ARVL																																				26000	21000	17000	7500	10000	11200	9900	2900	5700	8200	12000	13800	17100	30600	52400	53800	65400	70800	83500	95700	120500				
加拿大	CAN	国际旅游，入境人数	ST.INT.ARVL																																				16932000	17286000	17669000	18870000	19411000	19627000	19679000	20057000	17534000	19145000	18771000	18265000	17935000	17142000	15737000	16219000	16014000	16344000	16059000	16537000	17971000	19971000	20798000		
中歐和波羅的海	CEB	国际旅游，入境人数	ST.INT.ARVL																																				39224000	41706000	43855000	43820000	42625000	44000000	43763000	43246000	45480000	50292000	51504000	53482000	55013000	55674000	51124000	53509000	57341000	61474000	64493000	67042000	70961000	76657000	82935000		
瑞士	CHE	国际旅游，入境人数	ST.INT.ARVL																																				6946000	6730000	7039000	7185000	7154000	7821000	7455000	6868000	6530000		7229000	7863000	8448000	8608000	8294000	8628000	8534000	8566000	8967000	9158000	9305000	9205000	9889000		
海峡群岛	CHI	国际旅游，入境人数	ST.INT.ARVL																																																												
智利	CHL	国际旅游，入境人数	ST.INT.ARVL																																				1540000	1450000	1644000	1759000	1632000	1742000	1723000	1412000	1614000	1785000	2027000	2253000	2507000	2710000	2760000	2801000	3137000	3554000	3576000	3674000	4478000	5641000	6450000		
中国	CHN	国际旅游，入境人数	ST.INT.ARVL																																				20034000	22765000	23770000	25073000	27047000	31229000	33167000	36803000	32970000	41761000	46809000	49913000	54720000	53049000	50875000	55664000	57581000	57725000	55686000	55622000	56886000	59270000	60740000		
科特迪瓦	CIV	国际旅游，入境人数	ST.INT.ARVL																																																182000	205000	231000	252000	270000	289000	380000	471000	1441000	1583000	1800000		
喀麦隆	CMR	国际旅游，入境人数	ST.INT.ARVL																																													190000	176000	451000	477000	487000	498000	573000	604000	817000	783000	822000	897000	994000			
刚果（金）	COD	国际旅游，入境人数	ST.INT.ARVL																																				35000	37000	30000	53000	80000	103000	55000	28000	35000	36000	61000	55000	47000	50000	53000	81000	186000	167000	191000	334000	354000	351000			
刚果（布）	COG	国际旅游，入境人数	ST.INT.ARVL																																				37000	39000	27000	20000	14000	19000	27000	22000	23000	31000	35000	46000	55000	62000	94000	101000	168000	204000	231000	273000	363000	224000	206000		
哥伦比亚	COL	国际旅游，入境人数	ST.INT.ARVL																																				1399000	631000	639000	674000	546000	557000	616000	567000	625000	791000	933000	2045000	2254000	2317000	2364000	1405000	2042000	2175000	2288000	2552000	2978000	3317000	4113000		
科摩罗	COM	国际旅游，入境人数	ST.INT.ARVL																																				23000	24000	26000	27000	24000	24000	19400	18900	20600	23300	25900	28500	15200	14800	11300	15300	18800	22800	21900	22800	23600	26800	28000		
佛得角	CPV	国际旅游，入境人数	ST.INT.ARVL																																				28000	37000	45000	52000	67000	115000	134000	126000	150000	157000	198000	242000	267000	285000	287000	336000	428000	482000	503000	494000	520000	598000	668000		
哥斯达黎加	CRI	国际旅游，入境人数	ST.INT.ARVL																																				785000	781000	811000	943000	1032000	1088000	1131000	1113000	1239000	1453000	1679000	1725000	1980000	2089000	1923000	2100000	2192000	2343000	2428000	2527000	2660000	2925000	2960000		
加勒比小国	CSS	国际旅游，入境人数	ST.INT.ARVL																																				4485000	4563000	4706000	4724000	4858000	4991000	4850000	4844000	5105000	5425000	5591000	5814000	5778000	5746000	5479000	5704000	5849000	6029000	6007400	6221500	6437000	6651057.007	6882442.439		
古巴	CUB	国际旅游，入境人数	ST.INT.ARVL																																				742000	999000	1153000	1390000	1561000	1741000	1736000	1656000	1847000	2017000	2261000	2150000	2119000	2316000	2405000	2507000	2688000	2823000	2839000	2981000	3506000	3975000	4594000		
库拉索	CUW	国际旅游，入境人数	ST.INT.ARVL																																				224000	214000	205000	199000	198000	191000	205000	218000	221000	223000	222000	234000	300000	409000	367000	342000	390000	421000	441000	452000	468000	441000	399000		
开曼群岛	CYM	国际旅游，入境人数	ST.INT.ARVL																																				361000	373000	381000	404000	395000	354000	334000	303000	294000	260000	168000	267000	292000	303000	272000	288000	309000	322000	345000	383000	385000	385000	418000		
塞浦路斯	CYP	国际旅游，入境人数	ST.INT.ARVL																																				2100000	1950000	2088000	2223000	2434000	2686000	2697000	2418000	2303000	2349000	2470000	2401000	2416000	2404000	2141000	2173000	2392000	2465000	2405000	2441000	2659000	3187000	3652000		
捷克共和国	CZE	国际旅游，入境人数	ST.INT.ARVL																																				3381000	4558000	4976000	5482000	5610000	4773000	5405000	4743000	5076000	6061000	6336000	6435000	6680000	6649000	6032000	6334000	6715000	7647000	7852000	8096000	8707000	9321000	10160000		
德国	DEU	国际旅游，入境人数	ST.INT.ARVL																																				14847000	15205000	15837000	16511000	17116000	18983000	17861000	17969000	18399000	20137000	21500000	23569000	24421000	24884000	24220000	26875000	28374000	30411000	31545000	32999000	34970000	35555000	37452000		
吉布提	DJI	国际旅游，入境人数	ST.INT.ARVL																																				21000	20000	20000	21000	21000	20100	21600	22500	23200	26300	30200	39500	40000	54000	58000	51000	56000	60000	63000						
多米尼克	DMA	国际旅游，入境人数	ST.INT.ARVL																																				60000	63000	65000	66000	74000	70000	66000	69000	73000	80000	79000	84000	81000	81000	75000	77000	76000	79000	78000	81500	75000	78000	72000		
丹麦	DNK	国际旅游，入境人数	ST.INT.ARVL																																					2125000	2158000	2073000	2023000	3535000	3684000	3436000	3474000	4421000	9587000	9630000	9832000	9564000	9265000	9425000	8471000	8443000	8557000	10267000	10424000	10781000	11743000		
多米尼加共和国	DOM	国际旅游，入境人数	ST.INT.ARVL																																				1776000	1926000	2211000	2309000	2649000	2978000	2882000	2811000	3282000	3450000	3691000	3965000	3980000	3980000	3992000	4125000	4306000	4563000	4690000	5141400	5600000	5959300	6188000		
阿尔及利亚	DZA	国际旅游，入境人数	ST.INT.ARVL																																				520000	605000	635000	678000	749000	866000	901000	988000	1166000	1234000	1443000	1638000	1743000	1772000	1912000	2070000	2395000	2634000	2733000	2301000	1710000	2039000	2451000		
