Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
智利	CHL	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																	0.43			0.53			0.49		0.64		0.58		0.85		1.09		0.95		1.38		1.56		1.52		1.03			
中国	CHN	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																				0.27			0.28		0.4		0.42		0.48		0.69		0.99		1.11		1.37		1.17		0.96			
科特迪瓦	CIV	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																1.24	1.23			0.83			0.74		0.76		0.85		1.14		1.2		1.33		1.68		1.51		1.42		0.93			
喀麦隆	CMR	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																0.68	0.69			0.68			0.64		0.56		0.68		0.95		1.14		1.14		1.2		1.1		1.24		1.03			
刚果（金）	COD	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																0.81	0.74			0.73			0.5		1		0.7		0.92		0.94		1.23		1.28		1.48		1.68		1.49			
刚果（布）	COG	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																1.05							0.72		0.53		0.69		0.87		0.96		0.81		1.27		1.15		1.13		0.97			
哥伦比亚	COL	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																	0.23			0.35			0.24		0.49		0.44		0.72		0.98		1.04		1.41		1.28		1.08		0.68			
科摩罗	COM	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																																												
佛得角	CPV	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																0.68							0.81		0.59				1.4				1.84		1.84		2.3		1.56		1.02			
哥斯达黎加	CRI	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																											0.64		0.78		0.98		1.24		1.14		1.57		1.44		0.98			
加勒比小国	CSS	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																									0.56				0.705		0.94		0.875		1.02				1.29					
古巴	CUB	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																							0.5				0.9		0.95		1.1		1.67		1.72		1.4		1.4					
库拉索	CUW	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																																												
开曼群岛	CYM	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																																												
塞浦路斯	CYP	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																							0.78		0.57		0.83		1.08		1.25		1.28		1.47		1.77		1.61		1.23			
捷克共和国	CZE	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																				0.85			0.72		0.77		0.81		1.08		1.3		1.37		1.75		1.93		1.67		1.17			
德国	DEU	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																				1.12			0.96		0.91		1.03		1.46		1.55		1.56		1.9		1.96		1.8		1.39			
吉布提	DJI	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																																			1.63		1.75		1.41		1.32			
多米尼克	DMA	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																																												
丹麦	DNK	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																				1.08			1.05		1.01		1.09		1.51		1.58		1.54		2		2.02		2.01		1.55			
多米尼加共和国	DOM	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																				0.4			0.4		0.71		0.49		0.85		1.03		1.04		1.23		1.58		1.41		1.07			
阿尔及利亚	DZA	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																0.15	0.2			0.4			0.31		0.27		0.22		0.32		0.32		0.34		0.32		0.29		0.27		0.28			
东亚与太平洋地区（不包括高收入）	EAP	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																							0.31		0.385				0.54		0.71		0.915		1.11		1.31		1.17		0.82			
早人口紅利	EAR	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																							0.41		0.53		0.515		0.625		0.8		0.87		1.02		1.24		1.14		0.91			
东亚与太平洋地区	EAS	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																							0.41		0.445		0.42		0.68		0.87		0.94		1.205		1.36		1.23		0.9			
欧洲与中亚地区（不包括高收入）	ECA	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																							0.49		0.55		0.49		0.705		0.91		1.11		1.13		1.42		1.3		0.83			
欧洲与中亚地区	ECS	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																				0.84			0.67		0.72		0.8		1.17		1.29		1.28		1.59		1.805		1.6		1.18			
厄瓜多尔	ECU	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																	0.31			0.33			0.38		0.31		0.55		0.54		0.47		0.51		0.53		0.58		0.6		0.61			
阿拉伯埃及共和国	EGY	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																0.29	0.3			0.29			0.29		0.26		0.19		0.28		0.3		0.49		0.48		0.45		0.88		0.4			
欧洲货币联盟	EMU	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																				0.925			0.84		0.75		0.84		1.21		1.34		1.5		1.7		1.92		1.79		1.36			
厄立特里亚	ERI	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																	0.5			0.4			0.37		0.56		0.36		0.8		1.9		2.53		2.54		2.49		3.33		2			
西班牙	ESP	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																				0.89			0.84		0.73		0.83		1.21		1.15		1.23		1.56		1.75		1.63		1.26			
爱沙尼亚	EST	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																				0.33			0.45		0.6		0.58		0.94		1.23		1.18		1.54		1.76		1.46		1.14			
埃塞俄比亚	ETH	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																0.27	0.26			0.32			0.36		0.46		0.52		0.6		0.93		0.92		0.91		1.05		0.99		0.75			
欧洲联盟	EUU	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																				0.88			0.78		0.765		0.855		1.225		1.33		1.39		1.685		1.915		1.775		1.32			
脆弱和受衝突影響的情況下	FCS	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																							0.525		0.56		0.54		0.86		1.005		1.12		1.28		1.41		1.365		0.95			
芬兰	FIN	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																				1.2			1.17		1.06		1.12		1.54		1.55		1.57		1.94		2.08		1.89		1.45			
斐济	FJI	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																							0.5						0.91		1.07		1.15				1.41		1.34		0.82			
法国	FRA	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																				1.17			1.11		0.99		1.05		1.42		1.48		1.52		1.98		1.91		1.79		1.39			
法罗群岛	FRO	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																																												
密克罗尼西亚联邦	FSM	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																																												
加蓬	GAB	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																1.18	1.16						0.63		0.53		0.69		0.9		0.64		1.14				1.04		1.02		0.92			
英国	GBR	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																				0.92			1.11		1.17		1.18		1.56		1.63		1.44		1.92		2.17		1.92		1.46			
格鲁吉亚	GEO	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																							0.46				0.48		0.73		0.86		1.09		1.13		1.34		1.24		0.76			
加纳	GHA	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																0.53	0.53			0.38			0.32		0.2		0.28		0.49		0.86		0.9		0.82		0.92		1.06		0.92			
直布罗陀	GIB	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																																												
几内亚	GIN	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																0.67	0.61						0.68		0.85		0.66		0.75		0.79		1.02		0.95		1.34		1.45		0.9			
冈比亚	GMB	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																0.73	0.67						0.83		0.64		0.46		0.75		1.08		0.79						1.37		1.18			
几内亚比绍共和国	GNB	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																																												
赤道几内亚	GNQ	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																																												
希腊	GRC	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																				0.88			0.65		0.72		0.78		1.14		1.16		1.23		2.05		2.06		1.98		1.54			
格林纳达	GRD	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																							0.54		0.54		0.54		0.73		0.89		1.28		1.02		1.4				1.12			
格陵兰	GRL	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																																												
危地马拉	GTM	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																	0.32			0.39			0.41		0.53		0.48		0.68		0.78		0.86		0.95		1.14		1.01		0.79			
关岛	GUM	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																																												
圭亚那	GUY	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																							0.3		0.37		0.31		0.74				0.84		0.93		1.08		1.15		0.9			
高收入国家	HIC	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																							0.72		0.76		0.83		1.14		1.26		1.27		1.59		1.835		1.66		1.23			
中国香港特别行政区	HKG	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																0.82				1.19			1.36		1.46		1.47		1.54		1.69		1.95		1.92		2.16		2.06		1.86			
洪都拉斯	HND	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																	0.41			0.35			0.5		0.62		0.63		0.81		0.89		0.8		1.04		1.25		1.2		0.98			
重债穷国 (HIPC)	HPC	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																0.73	0.69			0.6			0.59		0.675		0.66		0.88		1.06		1.13		1.2		1.28		1.29		0.96			
克罗地亚	HRV	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																				0.75			0.67		0.76		0.89		1.24		1.34		1.27		1.59		1.77		1.66		1.26			
海地	HTI	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																							0.59		0.64		0.54		0.88				1.16				1.25		1.16		0.81			
匈牙利	HUN	汽油的市场价格（美元/每升）	EP.PMP.SGAS.CD																																				0.74			0.72		0.81		0.94		1.3		1.3		1.27		1.67		1.84		1.58		1.18			
